club_name,club_url,season,Games Played,Goals,Goals Conceded,Shots,Shots On Target,penalties,penalties_scored,Free Kicks Scored,Hit Woodwork,crosses,cross_accuracy,Interceptions,Blocks,Clearances,Passes,long_passes,long_pass_accuracy,Corners Taken,dribble_attempts,dribble_accuracy,Duels Won,Aerial Duels Won,Red Cards,Yellow Cards,Fouls,Offsides,Own Goals,free_kicks_taken,free_kicks_scored,penalties_saved,penalty_save_precentage
Arsenal,https://www.premierleague.com/en/clubs/3/arsenal/stats,2022/2023,38,88,43,408,204,4,3,16,15,452,19,237,86,567,20448,1721,49,223,672,57,1878,494,0,52,373,56,4,0,0,0,0
Aston Villa,https://www.premierleague.com/en/clubs/7/aston-villa/stats,2022/2023,38,51,46,302,151,4,3,0,21,401,25,324,118,663,15940,1942,45,165,598,53,1887,446,1,80,417,58,2,18,2,1,17
Bournemouth,https://www.premierleague.com/en/clubs/91/bournemouth/stats,2022/2023,38,37,71,266,133,0,0,14,5,347,25,353,170,973,13939,1934,42,144,686,50,1846,523,0,69,391,38,0,0,0,0,0
Brentford,https://www.premierleague.com/en/clubs/94/brentford/stats,2022/2023,38,58,46,324,162,8,7,0,10,488,22,341,168,770,13920,2312,44,163,515,52,1917,667,1,55,354,72,2,14,2,0,0
Brighton and Hove Albion,https://www.premierleague.com/en/clubs/36/brighton-and-hove-albion/stats,2022/2023,38,72,53,464,232,6,6,0,16,469,23,303,104,412,21280,1710,53,233,644,57,1832,446,0,59,427,70,4,12,1,2,25
Chelsea,https://www.premierleague.com/en/clubs/8/chelsea/stats,2022/2023,38,38,47,318,159,3,3,0,15,465,21,341,108,628,21149,1744,52,209,749,53,2089,496,3,77,397,74,1,10,1,0,0
Crystal Palace,https://www.premierleague.com/en/clubs/31/crystal-palace/stats,2022/2023,38,40,49,272,136,3,1,0,11,368,19,359,119,788,15707,2145,41,186,696,55,2051,498,3,79,446,58,2,23,1,0,0
Everton,https://www.premierleague.com/en/clubs/11/everton/stats,2022/2023,38,34,57,304,152,3,3,12,6,469,18,390,180,829,14152,2280,40,175,620,53,1996,583,2,79,396,64,2,0,0,1,17
Fulham,https://www.premierleague.com/en/clubs/54/fulham/stats,2022/2023,38,55,53,298,149,9,5,0,15,582,21,340,125,714,16196,1987,48,185,554,57,1859,514,1,80,411,60,3,17,1,1,13
Leeds United,https://www.premierleague.com/en/clubs/2/leeds-united/stats,2022/2023,38,48,78,290,145,3,1,19,6,427,20,392,131,709,15161,1946,35,201,601,46,2102,588,3,84,467,60,3,0,0,0,0
Leicester City,https://www.premierleague.com/en/clubs/13/leicester-city/stats,2022/2023,38,51,68,304,152,6,3,0,13,334,20,367,170,723,17365,1868,41,135,548,55,1909,513,2,59,410,83,2,14,2,1,20
Liverpool,https://www.premierleague.com/en/clubs/14/liverpool/stats,2022/2023,38,75,47,424,212,4,2,0,16,525,22,333,74,540,22401,2186,53,236,618,55,1730,482,1,57,405,84,4,7,1,1,25
Manchester City,https://www.premierleague.com/en/clubs/43/manchester-city/stats,2022/2023,38,94,33,438,219,10,9,0,19,525,21,223,95,391,25072,1758,61,240,594,60,1645,441,1,44,347,51,2,20,2,0,0
Manchester United,https://www.premierleague.com/en/clubs/1/manchester-united/stats,2022/2023,38,58,43,430,215,3,3,20,20,368,21,352,146,734,19085,1963,48,195,677,51,1760,467,2,78,424,79,2,0,0,1,33
Newcastle United,https://www.premierleague.com/en/clubs/4/newcastle-united/stats,2022/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nottingham Forest,https://www.premierleague.com/en/clubs/17/nottingham-forest/stats,2022/2023,38,38,68,236,118,6,3,9,8,357,17,349,156,892,12104,2095,37,128,505,54,1881,563,0,84,445,67,2,0,0,2,22
Southampton,https://www.premierleague.com/en/clubs/20/southampton/stats,2022/2023,38,36,73,284,142,4,2,0,10,429,21,427,165,825,14796,2097,38,157,703,55,2034,554,0,73,430,57,0,17,3,1,33
Tottenham Hotspur,https://www.premierleague.com/en/clubs/6/tottenham-hotspur/stats,2022/2023,38,70,63,398,199,6,5,0,17,525,25,340,148,725,18042,1900,49,203,613,53,1846,553,3,75,424,67,2,14,1,1,25
West Ham United,https://www.premierleague.com/en/clubs/21/west-ham-united/stats,2022/2023,38,42,55,290,145,8,6,13,16,542,19,408,139,779,14638,2002,46,207,550,52,1827,623,0,44,362,62,1,0,0,1,17
Wolverhampton Wanderers,https://www.premierleague.com/en/clubs/39/wolverhampton-wanderers/stats,2022/2023,38,31,58,252,126,3,3,18,6,471,21,279,175,780,16712,2152,46,186,701,57,1912,468,6,84,463,62,3,0,0,2,50
